"Sector","Grupo","Sendero","Distancia (m)","Parcela","Árbol","Especie","DAP (cm)","HT (m)","HC (m)","LD"," AB (m2)"
"II","6","17","50","2","6","Encino","18.4","8.9","2.8","0","0.02659044"
"II","6","17","50","2","7","Encino","20.3","6.5","2.8","0","0.032365473"
"II","6","17","50","2","8","Encino","15.5","4.2","3.8","0","0.018869191"
"II","6","17","50","2","9","Encino","11.5","6.9","4.9","0","0.010386891"
"II","6","17","50","2","10","Mozotillo","8","4.57","","0","0.005026548"
"II","6","17","50","2","11","Cachito","6.8","4.9","","0","0.003631681"
"II","6","17","50","2","12","Cachito","9.8","7.01","","0","0.007542964"
"II","6","17","60","3","1","Encino","27.5","9.51","2.95","0","0.059395736"
"II","6","17","60","3","2","Mozotillo","5.1","4.78","","0","0.002042821"
"II","6","17","60","3","3","Encino","14.8","4.48","2.27","0","0.017203361"
"II","6","17","60","3","4","Encino","7.2","4.87","3.38","0","0.004071504"
"II","6","17","60","3","5","Encino","18.4","9.48","3.33","0","0.02659044"
"II","6","17","60","3","6","Encino","23","6.92","4.91","1","0.041547563"
"II","6","17","60","3","7","Encino","16.1","5.33","3.26","0","0.020358306"
"II","6","17","60","3","8","Encino","7.8","5.1","2.95","0","0.004778362"
"II","6","17","60","3","9","Encino","13.5","7.34","2.71","0","0.014313882"
"II","6","17","60","3","10","Mozotillo","5.4","3.99","","0","0.002290221"
"II","6","17","60","3","11","Mozotillo","6.8","4.51","","0","0.003631681"
"II","6","17","60","3","12","Mozotillo","5.5","4.57","","0","0.002375829"
"II","6","17","70","4","1","Encino","20","9.66","4.19","0","0.031415927"
"II","6","17","70","4","2","Encino","18","9.45","1.9","0","0.0254469"
"II","6","17","70","4","3","Encino","19.5","9.75","2.72","0","0.029864765"
"II","6","17","70","4","4","Molinillo","7.3","4.91","","0","0.004185387"
"II","6","17","70","4","5","Encino","20.8","10.7","5.8","0","0.033979466"
"II","6","17","70","4","6","Molinillo","8","5.8","","0","0.005026548"
"II","6","17","70","4","7","Encino","35.3","10.8","3.1","1","0.09786768"
"II","6","17","70","4","8","Encino","21.5","10.4","4.7","0","0.03630503"
"II","6","17","80","5","1","Encino","10.7","5.3","1.8","0","0.008992024"
"II","6","17","80","5","2","Encino","26.2","8.2","4.3","1","0.053912872"
"II","6","17","80","5","3","Encino","24.2","6.4","1.8","0","0.045996058"
"II","6","17","80","5","4","Encino","8.3","5.7","2","0","0.005410608"
"II","6","17","80","5","5","Encino","42","8.1","1.8","0","0.138544236"
"II","6","17","80","5","6","Encino","9.5","6.7","3.4","0","0.007088218"
"II","7","18","10","1","1","Encino","29","10.29","4.6482","1","0.066051986"
"II","7","18","10","1","2","Encino","41","10.128","1.5","0","0.132025431"
"II","7","18","20","2","1","Cachito","5","3.81","","0","0.001963495"
"II","7","18","20","2","2","Cachito","10.4","8.1026","","0","0.008494867"
"II","7","18","20","2","3","Indio Desnudo  ","5.5","5.1816","","0","0.002375829"
"II","7","18","20","2","4","Encino","11.9","9.9822","2.2098","0","0.011122023"
"II","7","18","20","2","5","Encino","10.9","9.398","6.6294","0","0.009331316"
"II","7","18","20","2","6","Encino","33.3","8.5598","1.8288","0","0.087092017"
"II","7","18","20","2","7","Molinillo","8.2","7.0612","","0","0.005281017"
"II","7","18","30","3","1","Encino","33","9.1948","8.2051","0","0.08552986"
"II","7","18","30","3","2","Molinillo","8","8.7757","","0","0.005026548"
"II","7","18","30","3","3","Encino","24","9.144","2.3114","0","0.045238934"
"II","7","18","30","3","4","Encino","12","7.9248","6.7056","1","0.011309734"
"II","7","18","30","3","5","Molinillo","8","7.0104","","0","0.005026548"
"II","7","18","30","3","6","Molinillo","9","7.0104","","0","0.006361725"
"II","7","18","40","4","1","Encino","19","10.0584","6.7056","0","0.028352874"
"II","7","18","40","4","2","Ceiba","15","7.9248","","0","0.017671459"
"II","7","18","40","4","3","Encino","10","9.144","10.1854","0","0.007853982"
"II","7","18","40","4","4","Mozotillo","6","4.2672","","0","0.002827433"
"II","7","18","40","4","5","Encino","24","9.7536","9.2964","1","0.045238934"
"II","7","18","40","4","6","Encino","28","2.0066","1.3","0","0.061575216"
"II","7","18","40","4","7","Molinillo","6","4.8768","","0","0.002827433"
"II","7","18","40","4","8","Quiebra muelas","6","4.5466","","0","0.002827433"
"II","7","18","50","5","1","Encino","36","12.1","1.93","0","0.101787602"
"II","7","18","50","5","2","Pichota","5","4.05","","0","0.001963495"
"II","7","18","50","5","3","Encino","41.5","12.66","4.11","0","0.135265199"
"II","7","18","50","5","4","Encino","10.6","6.82","2.4","0","0.008824734"
"II","7","18","50","5","5","Encino","5.1","6.74","","0","0.002042821"
"II","7","18","50","5","6","Encino","24.1","12.92","3.89","0","0.045616711"
"III","8","20","450","1","1","Encino","13","7.73","1.5","0","0.013273229"
"III","8","20","450","1","2","Pichota","6","6.03","","0","0.002827433"
"III","8","20","450","1","3","Encino","17.5","8.76","1.9","0","0.024052819"
"III","8","20","450","1","4","Encino","9.5","8.51","3","1","0.007088218"
"III","8","20","450","1","5","Encino","17.7","9.41","1.8","0","0.024605739"
"III","8","20","450","1","6","Encino","7.5","8.74","2.59","0","0.004417865"
"III","8","20","450","1","7","Encino","16","9.37","1.8","0","0.020106193"
"III","8","20","450","1","8","Encino","6","5.59","3.94","0","0.002827433"
"III","8","20","450","1","9","Encino","19","9.25","1.8","0","0.028352874"
"III","8","20","450","1","10","Encino","12","9.25","2.59","0","0.011309734"
"III","8","20","450","1","11","Encino","7.4","6.68","3","0","0.00430084"
"III","8","20","450","1","12","Encino","9","4.95","2.01","0","0.006361725"
"III","8","20","460","2","1","Encino","11.4","7.92","1.7","0","0.010207035"
"III","8","20","460","2","2","Encino","8","8.53","1.1","0","0.005026548"
"III","8","20","460","2","3","Encino","5.5","3.58","1.1","0","0.002375829"
"III","8","20","460","2","4","Encino","11","7.24","1.7","0","0.009503318"
"III","8","20","460","2","5","Encino","12","7.24","2.08","0","0.011309734"
"III","8","20","460","2","6","Encino","6.1","6.48","1.53","0","0.002922467"
"III","8","20","460","2","7","Encino","6","6.48","1.91","0","0.002827433"
"III","8","20","460","2","8","Pichota","6.2","4.52","","0","0.003019071"
"III","8","20","460","2","9","Pichota","5","3","","0","0.001963495"
"III","8","20","460","2","10","Cachito","6","5.44","","0","0.002827433"
"III","8","20","460","2","11","Cachito","6","6.78","","0","0.002827433"
"III","8","20","460","2","12","Encino","15.2","8.18","1.8","0","0.018145839"
"III","8","20","460","2","13","Encino","10.1","8.13","1.1","0","0.008011847"
"III","8","20","460","2","14","Encino","11","6.81","1.4","0","0.009503318"
"III","8","20","460","2","15","Encino","10.1","7.14","3.45","0","0.008011847"
"III","8","20","460","2","16","Encino","19","8.53","4.85","1","0.028352874"
"III","8","20","460","2","17","Encino","8.9","6.81","4.32","0","0.006221139"
"III","8","20","460","2","18","Encino","12.5","8","2.57","0","0.012271846"
"III","8","20","470","3","1","Encino","10","5.44","1.9","0","0.007853982"
"III","8","20","470","3","2","Cachito","6.5","5.36","","0","0.003318307"
"III","8","20","470","3","3","Encino","10.2","7.7","3.43","0","0.008171282"
"III","8","20","470","3","4","Encino","8.5","6.68","3","1","0.005674502"
"III","8","20","470","3","5","Encino","5.4","5.46","2.11","0","0.002290221"
"III","8","20","470","3","6","Encino","10.2","7.25","1.4","0","0.008171282"
"III","8","20","470","3","7","Encino","12","7.75","3","0","0.011309734"
"III","8","20","470","3","8","Encino","12.8","7.75","2.4","0","0.012867964"
"III","8","20","470","3","9","Encino","7","6.37","4.76","0","0.003848451"
"III","8","20","470","3","10","Encino","12.5","7.99","2.83","0","0.012271846"
"III","8","20","470","3","11","Encino","9.5","7.99","2.08","0","0.007088218"
"III","8","20","470","3","12","Encino","8","6.5","2.04","0","0.005026548"
"III","8","20","470","3","13","Encino","13.3","6.5","1.04","0","0.013892908"
"III","8","20","470","3","14","Encino","13","7.29","1.8","0","0.013273229"
"III","8","20","470","3","15","Encino","9.3","6.12","1","0","0.006792909"
"III","8","20","470","3","16","Encino","11","6.38","1.1","0","0.009503318"
"III","8","20","480","4","1","Encino","6.5","10.75","1.5","0","0.003318307"
